Kontrolpunkts,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,u1,u2,u3,u4,u5
k1,0,32,71,122,144,199,247,305,351,443,35,110,180,222,280
k2,32,0,39,90,112,166,214,272,318,410,25,91,170,213,270
k3,71,39,0,51,73,127,175,233,279,371,26,53,126,168,225
k4,122,90,51,0,22,76,124,182,228,320,70,36,75,118,175
k5,144,112,73,22,0,54,102,160,206,298,131,57,71,114,171
k6,199,166,127,76,54,0,48,106,152,244,116,70,30,84,142
k7,247,214,175,124,102,48,0,58,104,196,139,104,39,81,138
k8,305,272,233,182,160,106,58,0,46,138,179,153,89,52,83
k9,351,318,279,228,206,152,104,46,0,92,218,256,103,51,40
k10,443,410,371,320,298,244,196,138,92,0,289,302,155,102,54
u1,35,25,26,70,131,116,139,179,218,289,0,76,146,189,246
u2,110,91,53,36,57,70,104,153,256,302,76,0,113,156,212
u3,180,170,126,75,71,30,39,89,103,155,146,110,0,55,112
u4,222,213,168,118,114,84,81,52,51,102,189,156,55,0,59
u5,280,270,225,175,171,142,138,83,40,54,246,212,112,59,0
